kin E	MS
 1121	 1000.43414306641
 1122	 999.521423339844
 1123	 998.608215332031
 1124	 997.694458007813
 1125	 996.7802734375
 1126	 995.865661621094
 1127	 994.950561523438
 1128	 994.035034179688
 1129	 993.119079589844
 1130	 992.20263671875
 1131	 991.285827636719
 1132	 990.368591308594
 1133	 989.450927734375
 1134	 988.532836914062
 1135	 987.614379882813
 1136	 986.695556640625
 1137	 985.776306152344
 1138	 984.856750488281
 1139	 983.936767578125
 1140	 983.016479492188
 1141	 982.095825195313
 1142	 981.1748046875
 1143	 980.25341796875
 1144	 979.331787109375
 1145	 978.409790039063
 1146	 977.487487792969
 1147	 976.564880371094
 1148	 975.641967773438
 1149	 974.71875
 1150	 973.795288085938
 1151	 972.871520996094
 1152	 971.947509765625
 1153	 971.023254394531
 1154	 970.098693847656
 1155	 969.173950195313
 1156	 968.248901367188
 1157	 967.323669433594
 1158	 966.398193359375
 1159	 965.472473144531
 1160	 964.546569824219
 1161	 963.620483398438
 1162	 962.694213867188
 1163	 961.767700195313
 1164	 960.841064453125
 1165	 959.914245605469
 1166	 958.987243652344
 1167	 958.060119628906
 1168	 957.1328125
 1169	 956.205383300781
 1170	 955.277770996094
 1171	 954.35009765625
 1172	 953.422302246094
 1173	 952.494323730469
 1174	 951.566345214844
 1175	 950.63818359375
 1176	 949.7099609375
 1177	 948.781677246094
 1178	 947.853271484375
 1179	 946.924865722656
 1180	 945.996337890625
 1181	 945.067749023438
 1182	 944.13916015625
 1183	 943.210510253906
 1184	 942.281860351563
 1185	 941.353149414062
 1186	 940.424499511719
 1187	 939.495788574219
 1188	 938.567016601563
 1189	 937.638366699219
 1190	 936.709655761719
 1191	 935.781005859375
 1192	 934.852355957031
 1193	 933.923706054688
 1194	 932.995178222656
 1195	 932.066650390625
 1196	 931.138244628906
 1197	 930.209838867187
 1198	 929.281555175781
 1199	 928.353332519531
 1200	 927.425170898438
